,Activation,Learning_Rate,Max_Iterations,Hidden_Layers,Accuracy_train,MSE_train,Accuracy_test,MSE_test
1,logistic,0.01,100,2,0.9930761622156281,0.006923837784371909,0.9940652818991098,0.005934718100890208
2,logistic,0.01,100,3,0.9930761622156281,0.006923837784371909,0.9940652818991098,0.005934718100890208
3,logistic,0.01,200,2,0.9920870425321464,0.00791295746785361,0.9940652818991098,0.005934718100890208
4,logistic,0.01,200,3,0.9930761622156281,0.006923837784371909,0.9940652818991098,0.005934718100890208
5,logistic,0.1,100,2,0.990108803165183,0.009891196834817012,0.9970326409495549,0.002967359050445104
6,logistic,0.1,100,3,0.9970326409495549,0.002967359050445104,0.9881305637982196,0.011869436201780416
7,logistic,0.1,200,2,0.9970326409495549,0.002967359050445104,0.9910979228486647,0.008902077151335312
8,logistic,0.1,200,3,1.0,0.0,1.0,0.0
9,tanh,0.01,100,2,0.9940652818991098,0.005934718100890208,0.9970326409495549,0.002967359050445104
10,tanh,0.01,100,3,0.9920870425321464,0.00791295746785361,0.9940652818991098,0.005934718100890208
11,tanh,0.01,200,2,0.9950544015825915,0.004945598417408506,0.9970326409495549,0.002967359050445104
12,tanh,0.01,200,3,0.9960435212660732,0.003956478733926805,0.9940652818991098,0.005934718100890208
13,tanh,0.1,100,2,0.9970326409495549,0.002967359050445104,0.9910979228486647,0.008902077151335312
14,tanh,0.1,100,3,0.9970326409495549,0.002967359050445104,0.9881305637982196,0.011869436201780416
15,tanh,0.1,200,2,0.9980217606330366,0.0019782393669634025,0.9910979228486647,0.008902077151335312
16,tanh,0.1,200,3,1.0,0.0,1.0,0.0
17,relu,0.01,100,2,0.9930761622156281,0.006923837784371909,0.9940652818991098,0.005934718100890208
18,relu,0.01,100,3,0.9930761622156281,0.006923837784371909,0.9940652818991098,0.005934718100890208
19,relu,0.01,200,2,0.9950544015825915,0.004945598417408506,0.9940652818991098,0.005934718100890208
20,relu,0.01,200,3,1.0,0.0,1.0,0.0
21,relu,0.1,100,2,0.9960435212660732,0.003956478733926805,0.9940652818991098,0.005934718100890208
22,relu,0.1,100,3,1.0,0.0,1.0,0.0
23,relu,0.1,200,2,0.9950544015825915,0.004945598417408506,0.9910979228486647,0.008902077151335312
24,relu,0.1,200,3,0.9990108803165183,0.0009891196834817012,0.9881305637982196,0.011869436201780416
